doctor_name,gender,specialty,experience,availability,hospital,city,latitude,longitude,emergency_available
Dr. Omar Ahmed,Female,Cardiologist,17 years,Mon-Fri,Divisional Hospital Akkarayankulam,Akkarayankulam,9.31178677631158,80.3148951808546,
Dr. Ayesha Chaudhry,Male,Orthopedic Surgeon,12 years,Everyday,Divisional Hospital Akkarayankulam,Akkarayankulam,9.31178677631158,80.3148951808546,
Dr. Omar Ahmed,Male,Neurologist,14 years,Mon-Fri,Divisional Hospital Akkarayankulam,Akkarayankulam,9.31178677631158,80.3148951808546,
Dr. Bilal Hussain,Female,Cardiologist,12 years,Everyday,National Hospital of Sri Lanka,,,,yes
Dr. Amna Ahmed,Male,Dermatologist,18 years,Mon-Fri,National Hospital of Sri Lanka,,,,yes
Dr. Ayesha Khan,Male,Cardiologist,11 years,Weekends,National Hospital of Sri Lanka,,,,yes
Dr. Amna Raza,Female,Dermatologist,11 years,Everyday,Divisional Hospital,Maruthamunai,7.43279274312826,81.8111065553857,
Dr. Bilal Raza,Male,Dermatologist,10 years,Everyday,Kandapola Hospital,Kandapola,6.99519914324375,80.8182409554599,
Dr. Zain Khan,Male,Orthopedic Surgeon,13 years,Mon-Fri,Medi Clinic,,6.87815491788106,79.8599712417876,
Dr. Omar Hussain,Male,Orthopedic Surgeon,5 years,Tue-Thu,Asiri Hospitals,,7.2742032794099,80.611342392801,
Dr. Sara Hussain,Female,Orthopedic Surgeon,5 years,Tue-Thu,Asiri Hospitals,,7.2742032794099,80.611342392801,
Dr. Sara Sheikh,Female,Orthopedic Surgeon,14 years,Weekends,Rural Hospital,Ulapane,7.10617076357627,80.5644349995281,
Dr. Omar Malik,Female,Neurologist,8 years,Mon-Fri,District Hospital,Godakawela,6.50186261831314,80.6565099544321,
Dr. Amna Sheikh,Male,Cardiologist,5 years,Weekends,Gokarella Divisional Hospital,,,,
Dr. Omar Hussain,Male,Cardiologist,15 years,Tue-Thu,Gokarella Divisional Hospital,,,,
Dr. Bilal Ahmed,Male,Pediatrician,17 years,Tue-Thu,Nagoda general Hospital,,,,
Dr. Zain Sheikh,Female,Dermatologist,6 years,Mon-Fri,Pimbura Distric Hospital,,6.5757016532157,80.1581675892882,yes
Dr. Ayesha Sheikh,Female,Orthopedic Surgeon,16 years,Weekends,Pimbura Distric Hospital,,6.5757016532157,80.1581675892882,yes
Dr. Ali Sheikh,Female,Neurologist,18 years,Mon-Fri,Pimbura Distric Hospital,,6.5757016532157,80.1581675892882,yes
Dr. Bilal Ahmed,Female,Cardiologist,10 years,Mon-Fri,Gurunagar Divisional Hospital,,,,
